,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
67,TAC,TransAlta Corporation,3.26B,-2.33%,1104754,2.07B
68,CWEN,"Clearway Energy, Inc.",3.01B,0.42%,418831,1.36B
69,AVA,Avista Corporation,2.92B,0.24%,358664,1.92B
70,CPK,Chesapeake Utilities Corporation,2.87B,1.72%,59163,757.49M
71,AWR,American States Water Company,2.77B,0.74%,81226,577.54M
72,CWT,California Water Service Group,2.65B,-0.27%,260555,1.03B
73,CEPU,Central Puerto S.A.,2.42B,-2.67%,433193,375.58M
74,RNW,ReNew Energy Global Plc,2.38B,0.77%,838960,998.53M
75,FLNC,"Fluence Energy, Inc.",2.17B,-3.48%,2765390,2.70B
76,ENLT,Enlight Renewable Energy Ltd,2.02B,3.32%,12787,358.42M
77,CTRI,"Centuri Holdings, Inc.",1.92B,-1.72%,196939,2.59B
78,EDN,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,1.92B,-3.09%,193516,972.77M
79,SJW,SJW Group,1.73B,0.56%,179079,721.96M
80,KEN,Kenon Holdings Ltd.,1.67B,1.79%,11503,742.80M
81,HE,"Hawaiian Electric Industries, Inc.",1.64B,0.11%,1409850,3.69B
82,NWN,Northwest Natural Holding Company,1.62B,1.28%,157220,1.14B
83,ARIS,"Aris Water Solutions, Inc.",1.51B,-0.08%,572815,420.96M
84,SPH,"Suburban Propane Partners, L.P.",1.40B,-0.96%,384774,1.33B
85,MSEX,Middlesex Water Company,904.90M,0.70%,65686,183.37M
86,UTL,Unitil Corporation,893.48M,2.15%,49001,496.90M
87,AMPS,"Altus Power, Inc.",612.80M,-3.28%,541779,185.99M
88,MNTK,"Montauk Renewables, Inc.",611.93M,-1.38%,69834,194.85M
89,OPAL,OPAL Fuels Inc.,512.44M,-1.17%,120374,306.96M
90,YORW,The York Water Company,456.09M,0.48%,41068,74.19M
91,CWCO,Consolidated Water Co. Ltd.,426.28M,1.05%,56501,158.81M
92,GNE,Genie Energy Ltd.,400.93M,1.94%,39231,427.22M
93,CDZI,Cadiz Inc.,389.83M,4.33%,532766,5.54M
94,ARTNA,Artesian Resources Corporation,323.15M,-0.03%,18813,105.65M
95,PCYO,Pure Cycle Corporation,285.31M,0.85%,21676,29.11M
96,GWRS,"Global Water Resources, Inc.",275.40M,-1.30%,38534,51.81M
97,NRGV,"Energy Vault Holdings, Inc.",258.60M,-2.30%,617504,130.96M
98,RGCO,"RGC Resources, Inc.",216.45M,3.43%,9168,84.64M
99,ELLO,Ellomay Capital Ltd.,215.28M,8.06%,2419,44.85M
100,VGAS,"Verde Clean Fuels, Inc.",179.09M,-0.99%,16197,-
101,SUUN,SolarBank Corporation,113.26M,5.19%,308702,49.37M
102,STEM,"Stem, Inc.",92.80M,-4.28%,7403744,256.18M
103,WAVE,Eco Wave Power Global AB (publ),46.85M,3.61%,33735,279.00K
104,ADN,"Advent Technologies Holdings, Inc.",12.68M,-8.03%,7615,8.16M
105,BNRG,Brenmiller Energy Ltd,9.15M,-3.01%,197251,41.00K
106,HTOO,Fusion Fuel Green PLC,8.69M,9.63%,299834,4.44M
107,CREG,Smart Powerr Corp.,5.56M,0.83%,9357,-
108,ALCE,Alternus Clean Energy Inc,718.99K,-15.86%,519081,-
