,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
31,ALC,Alcon Inc.,44.77B,-2.26%,1231933,9.76B
32,TAK,Takeda Pharmaceutical Company Limited,43.37B,-0.59%,1468771,29.12B
33,HLN,Haleon plc,42.60B,0.42%,7830205,15.07B
34,EW,Edwards Lifesciences Corporation,41.49B,-1.04%,2872766,6.31B
35,A,"Agilent Technologies, Inc.",41.43B,-1.65%,1540907,6.51B
36,GEHC,GE HealthCare Technologies Inc.,40.04B,-0.62%,1625432,19.56B
37,ARGX,argenx SE,39.71B,-1.72%,194867,1.91B
38,VEEV,Veeva Systems Inc.,38.51B,-0.93%,632896,2.66B
39,IDXX,"IDEXX Laboratories, Inc.",37.65B,-0.17%,611037,3.90B
40,IQV,IQVIA Holdings Inc.,36.65B,-0.87%,1748702,15.41B
41,ALNY,"Alnylam Pharmaceuticals, Inc.",35.62B,-0.74%,459507,2.09B
42,RMD,ResMed Inc.,34.80B,-0.10%,830561,4.93B
43,DXCM,"DexCom, Inc.",34.40B,-0.27%,2838773,3.95B
44,HUM,Humana Inc.,33.03B,-1.49%,841026,115.01B
45,CAH,"Cardinal Health, Inc.",30.77B,0.25%,1768220,222.28B
46,MTD,Mettler-Toledo International Inc.,29.33B,2.45%,461137,3.87B
47,CNC,Centene Corporation,29.23B,-0.05%,2606773,147.29B
48,BNTX,BioNTech SE,28.20B,-1.94%,348626,3.39B
49,PHG,Koninklijke Philips N.V.,25.68B,-0.58%,671575,20.12B
50,WAT,Waters Corporation,24.31B,-0.35%,327078,2.91B
51,ONC,"BeiGene, Ltd.",23.85B,-2.35%,243040,3.35B
52,WST,"West Pharmaceutical Services, Inc.",23.29B,-2.70%,283129,2.88B
53,NTRA,"Natera, Inc.",22.82B,-1.32%,836873,1.53B
54,STE,STERIS plc,22.03B,-0.98%,472191,5.40B
55,BIIB,Biogen Inc.,20.60B,-0.54%,1101304,9.61B
56,LH,Labcorp Holdings Inc.,20.54B,-0.59%,497009,13.01B
57,ZBH,"Zimmer Biomet Holdings, Inc.",20.09B,-1.67%,2509277,7.68B
58,PODD,Insulet Corporation,19.86B,-1.60%,352409,1.98B
59,TEVA,Teva Pharmaceutical Industries Limited,19.08B,-2.54%,13330865,16.54B
60,RPRX,Royalty Pharma plc,18.69B,1.05%,3393408,2.27B
61,COO,"The Cooper Companies, Inc.",18.67B,-1.81%,897289,3.90B
62,DGX,Quest Diagnostics Incorporated,18.05B,-0.02%,499450,9.87B
63,ILMN,"Illumina, Inc.",17.61B,-9.74%,5381684,4.37B
64,ICLR,ICON Public Limited Company,15.97B,-1.27%,400089,8.31B
65,MOH,"Molina Healthcare, Inc.",15.90B,-0.36%,792048,39.16B
66,ALGN,"Align Technology, Inc.",15.72B,-3.47%,1362129,4.00B
67,BAX,Baxter International Inc.,15.63B,-0.62%,2140290,15.06B
68,UTHR,United Therapeutics Corporation,15.52B,-1.71%,286142,2.76B
69,DOCS,"Doximity, Inc.",14.87B,36.20%,10264127,550.17M
70,SMMT,Summit Therapeutics Inc.,14.83B,-2.81%,1314803,-
71,HOLX,"Hologic, Inc.",14.72B,0.20%,3802482,4.04B
72,RVTY,"Revvity, Inc.",14.47B,0.70%,792271,2.76B
73,INSM,Insmed Incorporated,14.30B,-1.28%,1577587,342.96M
74,INCY,Incyte Corporation,14.28B,-1.09%,2379180,4.08B
75,DVA,DaVita Inc.,14.23B,0.88%,585320,12.67B
76,FMS,Fresenius Medical Care AG,14.21B,0.21%,200312,21.46B
77,ITCI,"Intra-Cellular Therapies, Inc.",13.49B,-0.09%,1360403,613.73M
78,THC,Tenet Healthcare Corporation,13.36B,0.48%,689247,20.97B
79,AVTR,"Avantor, Inc.",13.04B,-10.23%,14231263,6.78B
80,VTRS,Viatris Inc.,12.81B,-2.81%,5836352,15.05B
81,SOLV,Solventum Corporation,12.68B,-2.14%,855241,8.22B
82,MRNA,"Moderna, Inc.",12.55B,-2.95%,9409163,5.08B
83,NBIX,"Neurocrine Biosciences, Inc.",12.41B,-18.94%,6511233,2.36B
84,UHS,"Universal Health Services, Inc.",12.40B,-0.27%,203403,15.42B
85,GMAB,Genmab A/S,12.19B,-1.81%,1245703,2.97B
86,BMRN,BioMarin Pharmaceutical Inc.,12.18B,0.23%,869430,2.75B
87,GMED,"Globus Medical, Inc.",11.93B,-1.22%,1182149,2.48B
88,RDY,Dr. Reddy's Laboratories Limited,11.79B,-0.36%,1578004,3.64B
89,TECH,Bio-Techne Corporation,11.51B,-2.93%,1215227,1.20B
90,MEDP,"Medpace Holdings, Inc.",10.98B,-1.90%,285051,2.07B
91,PCVX,"Vaxcyte, Inc.",10.90B,-1.14%,606153,-
92,TEM,"Tempus AI, Inc.",10.86B,5.14%,16199844,640.44M
93,SNN,Smith & Nephew plc,10.83B,-2.77%,701222,5.64B
94,SRPT,"Sarepta Therapeutics, Inc.",10.68B,-1.43%,842189,1.64B
95,EHC,Encompass Health Corporation,10.06B,1.28%,1202525,5.37B
96,PEN,"Penumbra, Inc.",10.00B,-0.32%,258712,1.16B
97,EXAS,Exact Sciences Corporation,9.91B,-1.38%,1716737,2.69B
98,HSIC,"Henry Schein, Inc.",9.85B,-1.06%,1078471,12.50B
99,HQY,"HealthEquity, Inc.",9.66B,-0.49%,384320,1.15B
100,BIO.B,"Bio-Rad Laboratories, Inc.",9.59B,-,-,2.58B
101,BIO,"Bio-Rad Laboratories, Inc.",9.58B,-0.95%,231287,2.58B
102,EXEL,"Exelixis, Inc.",9.56B,-0.56%,1408774,2.08B
103,ATR,"AptarGroup, Inc.",9.53B,-8.48%,1221538,3.58B
104,MASI,Masimo Corporation,9.43B,-2.14%,315104,2.04B
105,QGEN,Qiagen N.V.,8.93B,-2.59%,1276901,1.98B
106,WBA,"Walgreens Boots Alliance, Inc.",8.75B,0.01%,12679138,150.41B
107,RGEN,Repligen Corporation,8.74B,-3.59%,324453,633.51M
108,GKOS,Glaukos Corporation,8.44B,-1.42%,539257,360.35M
109,BRKR,Bruker Corporation,8.43B,-0.77%,1387653,3.24B
110,CRL,"Charles River Laboratories International, Inc.",8.38B,-1.49%,480152,4.06B
111,CHE,Chemed Corporation,8.21B,-0.65%,51216,2.38B
112,TFX,Teleflex Incorporated,7.95B,-1.45%,385962,3.03B
113,ROIV,Roivant Sciences Ltd.,7.93B,4.05%,5632266,129.13M
114,RVMD,"Revolution Medicines, Inc.",7.80B,-5.90%,866201,742.00K
115,ENSG,"The Ensign Group, Inc.",7.47B,-3.61%,750403,4.26B
116,JAZZ,Jazz Pharmaceuticals plc,7.27B,0.18%,615802,3.99B
117,HALO,"Halozyme Therapeutics, Inc.",7.26B,-1.38%,893496,947.36M
118,MDGL,"Madrigal Pharmaceuticals, Inc.",7.26B,0.74%,243871,76.81M
119,ASND,Ascendis Pharma A/S,7.23B,-3.32%,410124,365.19M
120,CORT,Corcept Therapeutics Incorporated,7.13B,-0.04%,654887,628.56M
121,WAY,Waystar Holding Corp.,7.04B,-0.32%,971727,906.14M
122,BPMC,Blueprint Medicines Corporation,6.67B,-3.57%,1214011,434.42M
123,LEGN,Legend Biotech Corporation,6.49B,-2.02%,840223,520.18M
124,MMSI,"Merit Medical Systems, Inc.",6.36B,0.41%,328159,1.33B
125,LNTH,"Lantheus Holdings, Inc.",6.17B,-2.41%,675283,1.50B
126,TLX,Telix Pharmaceuticals Limited,6.11B,-1.37%,7959,430.80M
127,NUVL,"Nuvalent, Inc.",6.09B,-1.18%,283186,-
128,BBIO,"BridgeBio Pharma, Inc.",6.02B,-3.21%,1527250,217.77M
129,STVN,Stevanato Group S.p.A.,5.98B,-2.31%,185734,1.22B
130,ELAN,Elanco Animal Health Incorporated,5.69B,-3.93%,3807522,4.45B
131,BLCO,Bausch + Lomb Corporation,5.67B,0.25%,554441,4.68B
132,GH,"Guardant Health, Inc.",5.49B,-3.51%,6104863,692.26M
133,INSP,"Inspire Medical Systems, Inc.",5.46B,0.57%,415724,755.59M
134,GRFS,"Grifols, S.A.",5.43B,1.86%,1066702,7.81B
135,OPCH,"Option Care Health, Inc.",5.27B,0.52%,858487,4.78B
136,AXSM,"Axsome Therapeutics, Inc.",5.13B,-3.65%,842508,338.46M
137,ALKS,Alkermes plc,5.11B,0.51%,2044580,1.51B
138,CYTK,"Cytokinetics, Incorporated",5.05B,-6.61%,3440250,3.22M
139,IONS,"Ionis Pharmaceuticals, Inc.",4.96B,-3.65%,1138217,803.07M
140,VRNA,Verona Pharma plc,4.93B,-1.62%,1067733,5.62M
141,TGTX,"TG Therapeutics, Inc.",4.75B,-1.49%,1342229,264.79M
142,ITGR,Integer Holdings Corporation,4.71B,-0.40%,109844,1.71B
143,NARI,"Inari Medical, Inc.",4.68B,-0.14%,906321,574.50M
144,RDNT,"RadNet, Inc.",4.65B,-2.47%,625543,1.77B
145,KRYS,"Krystal Biotech, Inc.",4.45B,-3.84%,296332,241.52M
146,PBH,Prestige Consumer Healthcare Inc.,4.31B,-0.40%,416993,1.12B
147,RARE,Ultragenyx Pharmaceutical Inc.,4.18B,-0.94%,676040,522.75M
148,RNA,"Avidity Biosciences, Inc.",4.17B,-0.54%,1887462,10.12M
149,AKRO,"Akero Therapeutics, Inc.",4.13B,-1.35%,851318,-
150,ADMA,"ADMA Biologics, Inc.",3.95B,-1.54%,1560216,382.81M
151,ACHC,"Acadia Healthcare Company, Inc.",3.90B,-1.78%,1450883,3.12B
152,ALVO,Alvotech,3.89B,0.62%,93771,393.92M
153,BHVN,Biohaven Ltd.,3.89B,-1.16%,514865,-
154,SHC,Sotera Health Company,3.86B,-1.16%,732465,1.12B
155,BTSG,"BrightSpring Health Services, Inc.",3.85B,-1.65%,1928886,10.59B
156,ICUI,"ICU Medical, Inc.",3.84B,-1.10%,131536,2.34B
157,PTCT,"PTC Therapeutics, Inc.",3.82B,-0.64%,398774,900.66M
158,OGN,Organon & Co.,3.77B,-2.28%,2209170,6.41B
159,PRCT,PROCEPT BioRobotics Corporation,3.76B,-1.74%,557748,199.84M
160,XRAY,DENTSPLY SIRONA Inc.,3.74B,-2.03%,1361942,3.90B
161,SRRK,Scholar Rock Holding Corporation,3.74B,-1.89%,387382,-
162,OSCR,"Oscar Health, Inc.",3.68B,-0.87%,3871404,9.18B
163,NVST,Envista Holdings Corporation,3.66B,-2.48%,2438400,2.51B
164,APLS,"Apellis Pharmaceuticals, Inc.",3.66B,-2.68%,812002,715.22M
165,RYTM,"Rhythm Pharmaceuticals, Inc.",3.64B,-1.38%,372998,112.53M
166,VKTX,"Viking Therapeutics, Inc.",3.63B,3.31%,4810002,-
167,ACLX,"Arcellx, Inc.",3.62B,-1.95%,475264,155.82M
168,IMVT,"Immunovant, Inc.",3.47B,0.25%,1759689,-
169,IRTC,"iRhythm Technologies, Inc.",3.44B,1.34%,405802,560.03M
170,CRNX,"Crinetics Pharmaceuticals, Inc.",3.43B,-4.47%,629617,1.04M
171,CRSP,CRISPR Therapeutics AG,3.39B,-2.22%,2173124,202.83M
172,PRGO,Perrigo Company plc,3.36B,-1.48%,589139,4.39B
173,SGRY,"Surgery Partners, Inc.",3.26B,0.58%,1115317,2.99B
174,DNLI,Denali Therapeutics Inc.,3.20B,-1.24%,817233,-
175,VCYT,"Veracyte, Inc.",3.18B,-5.54%,1000905,425.33M
176,WRBY,Warby Parker Inc.,3.17B,0.88%,1048740,742.53M
177,TWST,Twist Bioscience Corporation,3.12B,-2.61%,857067,330.19M
178,ACAD,ACADIA Pharmaceuticals Inc.,3.09B,-2.72%,1119286,929.24M
179,MTSR,"Metsera, Inc.",3.04B,-0.10%,383648,-
180,LFST,"LifeStance Health Group, Inc.",3.03B,-0.38%,438941,1.21B
181,AMED,"Amedisys, Inc.",3.01B,-0.15%,125786,2.32B
182,ZLAB,Zai Lab Limited,3.00B,-1.01%,447152,355.75M
183,SWTX,"SpringWorks Therapeutics, Inc.",3.00B,2.55%,1410094,135.49M
184,XENE,Xenon Pharmaceuticals Inc.,2.99B,-0.98%,321320,-
185,HAE,Haemonetics Corporation,2.98B,-5.62%,2494434,1.37B
186,RXRX,"Recursion Pharmaceuticals, Inc.",2.95B,2.07%,24323330,65.18M
187,CON,"Concentra Group Holdings Parent, Inc.",2.90B,-1.94%,386439,1.88B
188,QDEL,QuidelOrtho Corporation,2.88B,1.88%,733708,2.82B
189,FOLD,"Amicus Therapeutics, Inc.",2.88B,-1.83%,2428288,493.67M
190,VCEL,Vericel Corporation,2.88B,-3.20%,282824,226.84M
191,MLTX,MoonLake Immunotherapeutics,2.84B,-4.35%,285518,-
192,ALHC,"Alignment Healthcare, Inc.",2.83B,-2.06%,1262440,2.47B
193,MRUS,Merus N.V.,2.82B,-0.70%,465637,35.93M
194,PDCO,"Patterson Companies, Inc.",2.74B,-0.10%,1333631,6.55B
195,CPRX,"Catalyst Pharmaceuticals, Inc.",2.73B,-1.12%,551288,460.48M
196,PRVA,"Privia Health Group, Inc.",2.70B,-0.84%,360581,1.72B
197,LIVN,LivaNova PLC,2.60B,-0.31%,541777,1.24B
198,ARWR,"Arrowhead Pharmaceuticals, Inc.",2.53B,-1.17%,1415520,3.55M
199,CNTA,Centessa Pharmaceuticals plc,2.51B,6.67%,1504211,6.85M
200,EWTX,"Edgewise Therapeutics, Inc.",2.50B,-8.09%,1261114,-
201,MESO,Mesoblast Limited,2.49B,4.87%,277456,5.90M
202,IBRX,"ImmunityBio, Inc.",2.45B,1.21%,4156828,7.33M
203,MIRM,"Mirum Pharmaceuticals, Inc.",2.45B,-0.33%,610700,307.03M
204,TMDX,"TransMedics Group, Inc.",2.44B,-1.67%,1231199,401.09M
205,AMRX,"Amneal Pharmaceuticals, Inc.",2.43B,-1.51%,803176,2.68B
206,SEM,Select Medical Holdings Corporation,2.43B,-3.63%,654580,6.97B
207,KYMR,"Kymera Therapeutics, Inc.",2.42B,-4.41%,300739,87.56M
208,NVCR,NovoCure Limited,2.41B,-2.97%,767949,577.74M
209,AZTA,"Azenta, Inc.",2.39B,-3.18%,611342,662.11M
210,BHC,Bausch Health Companies Inc.,2.37B,0.46%,1790791,9.47B
211,TNDM,"Tandem Diabetes Care, Inc.",2.37B,-1.74%,766310,854.35M
212,PTGX,"Protagonist Therapeutics, Inc.",2.32B,2.99%,756835,323.80M
213,VERA,"Vera Therapeutics, Inc.",2.29B,-2.80%,400393,-
214,JANX,"Janux Therapeutics, Inc.",2.27B,-3.22%,784098,13.05M
215,APGE,"Apogee Therapeutics, Inc.",2.26B,-4.42%,364132,-
216,NEOG,Neogen Corporation,2.25B,-2.81%,2318703,913.83M
217,HCM,HUTCHMED (China) Limited,2.24B,-5.23%,101806,610.81M
218,TDOC,"Teladoc Health, Inc.",2.23B,9.11%,14640033,2.59B
219,LMAT,"LeMaitre Vascular, Inc.",2.20B,-1.84%,186486,213.03M
220,CGON,"CG Oncology, Inc.",2.20B,-3.80%,312253,684.00K
221,CERT,"Certara, Inc.",2.19B,0.15%,890028,372.80M
222,PACS,"PACS Group, Inc.",2.19B,-0.56%,282698,3.56B
223,BEAM,Beam Therapeutics Inc.,2.18B,-0.87%,1022398,349.64M
224,LGND,Ligand Pharmaceuticals Incorporated,2.18B,-2.25%,65641,152.42M
225,SLNO,"Soleno Therapeutics, Inc.",2.17B,-1.20%,318254,-
226,CLOV,"Clover Health Investments, Corp.",2.16B,-3.15%,4858210,2.12B
227,NAMS,NewAmsterdam Pharma Company N.V.,2.16B,-4.31%,298590,33.59M
228,ARDT,"Ardent Health Partners, Inc.",2.14B,1.20%,111213,5.71B
229,HRMY,"Harmony Biosciences Holdings, Inc.",2.14B,-3.43%,334096,681.88M
230,SUPN,"Supernus Pharmaceuticals, Inc.",2.12B,-1.16%,411096,651.97M
231,ADUS,Addus HomeCare Corporation,2.08B,-3.04%,190809,1.13B
232,CNMD,CONMED Corporation,2.05B,-1.38%,744094,1.31B
233,TARS,"Tarsus Pharmaceuticals, Inc.",2.02B,-0.69%,599037,129.62M
234,UFPT,"UFP Technologies, Inc.",2.01B,-6.65%,131022,461.85M
235,ATRC,"AtriCure, Inc.",2.00B,0.10%,462149,447.57M
236,IDYA,"IDEAYA Biosciences, Inc.",1.99B,-4.09%,398623,3.92M
237,IART,Integra LifeSciences Holdings Corporation,1.95B,-3.07%,760884,1.56B
238,AGIO,"Agios Pharmaceuticals, Inc.",1.91B,-2.79%,617448,32.87M
239,TVTX,"Travere Therapeutics, Inc.",1.89B,-1.60%,1723161,203.45M
240,SDGR,"Schrödinger, Inc.",1.87B,-1.35%,537821,193.35M
241,PGNY,"Progyny, Inc.",1.87B,0.41%,1285467,1.14B
242,GDRX,"GoodRx Holdings, Inc.",1.86B,0.41%,795015,790.39M
243,OMCL,"Omnicell, Inc.",1.86B,4.31%,794718,1.11B
244,IRON,"Disc Medicine, Inc.",1.85B,-2.61%,350435,-
245,BCRX,"BioCryst Pharmaceuticals, Inc.",1.81B,-0.11%,2172216,412.58M
246,BLTE,"Belite Bio, Inc",1.78B,-2.64%,45141,-
247,GERN,Geron Corporation,1.77B,0.64%,10400803,29.48M
248,ASTH,"Astrana Health, Inc.",1.76B,0.56%,178803,1.72B
249,IOVA,"Iovance Biotherapeutics, Inc.",1.73B,-1.90%,5623041,90.86M
250,DVAX,Dynavax Technologies Corporation,1.73B,0.31%,1516347,260.81M
251,NEO,"NeoGenomics, Inc.",1.73B,-0.30%,513276,644.12M
252,TXG,"10x Genomics, Inc.",1.73B,-2.73%,2557724,629.74M
253,PINC,"Premier, Inc.",1.71B,-1.00%,1750117,1.29B
254,WVE,Wave Life Sciences Ltd.,1.70B,-5.49%,442348,53.61M
255,PHR,"Phreesia, Inc.",1.68B,0.24%,251586,405.14M
256,PRAX,"Praxis Precision Medicines, Inc.",1.67B,-2.02%,390306,1.61M
257,WGS,GeneDx Holdings Corp.,1.64B,-6.71%,1268751,267.23M
258,AAPG,Ascentage Pharma Group International,1.61B,-0.77%,320089,124.27M
259,ATEC,"Alphatec Holdings, Inc.",1.61B,-0.53%,845149,572.74M
260,EVO,Evotec SE,1.59B,-5.96%,33732,866.67M
261,ETNB,"89bio, Inc.",1.59B,-0.17%,1402286,-
262,GPCR,Structure Therapeutics Inc.,1.57B,-8.73%,1209652,-
263,DYN,"Dyne Therapeutics, Inc.",1.56B,-7.52%,1208487,-
264,AMPH,"Amphastar Pharmaceuticals, Inc.",1.56B,-1.49%,296807,723.55M
265,MNKD,MannKind Corporation,1.55B,0.70%,1153478,267.20M
266,NHC,National HealthCare Corporation,1.54B,-1.11%,37643,1.22B
267,GLPG,Galapagos NV,1.50B,-0.48%,350388,290.09M
268,IMCR,Immunocore Holdings plc,1.50B,0.83%,192477,296.31M
269,CLDX,"Celldex Therapeutics, Inc.",1.49B,-4.47%,566710,9.98M
270,NRIX,"Nurix Therapeutics, Inc.",1.43B,-0.84%,803053,54.55M
271,KNSA,"Kiniksa Pharmaceuticals International, plc",1.41B,-3.94%,373677,384.10M
272,VRDN,"Viridian Therapeutics, Inc.",1.41B,-4.05%,935652,302.00K
273,AGL,"agilon health, inc.",1.37B,1.52%,3404087,5.59B
274,ARQT,"Arcutis Biotherapeutics, Inc.",1.36B,-6.92%,2655327,138.71M
275,VIR,"Vir Biotechnology, Inc.",1.36B,-2.05%,999424,78.62M
276,GRDN,"Guardian Pharmacy Services, Inc.",1.35B,-7.66%,46889,1.17B
277,PLSE,"Pulse Biosciences, Inc.",1.34B,0.05%,290283,-
278,FTRE,Fortrea Holdings Inc.,1.34B,-3.18%,992314,2.98B
279,LQDA,Liquidia Corporation,1.33B,-1.32%,800661,15.61M
280,RXST,"RxSight, Inc.",1.33B,-1.70%,322643,128.29M
281,SYRE,"Spyre Therapeutics, Inc.",1.33B,-5.07%,682892,-
282,SNDX,"Syndax Pharmaceuticals, Inc.",1.32B,-1.90%,2906664,16.00M
283,ARDX,"Ardelyx, Inc.",1.32B,-1.76%,3996145,251.85M
284,USPH,"U.S. Physical Therapy, Inc.",1.31B,-0.78%,62851,639.06M
285,NVAX,"Novavax, Inc.",1.30B,-1.45%,2571402,885.19M
286,ARVN,"Arvinas, Inc.",1.28B,-2.09%,934456,161.10M
287,AORT,"Artivion, Inc.",1.28B,-2.30%,291511,384.90M
288,INMD,InMode Ltd.,1.25B,-1.15%,1219421,394.82M
289,WEAV,"Weave Communications, Inc.",1.25B,0.17%,388135,195.84M
290,AHCO,AdaptHealth Corp.,1.23B,-2.48%,1287919,3.26B
291,MDXG,"MiMedx Group, Inc.",1.22B,-2.24%,401589,342.80M
292,DAWN,"Day One Biopharmaceuticals, Inc.",1.22B,-3.68%,742712,101.95M
293,BLFS,"BioLife Solutions, Inc.",1.21B,-0.34%,286287,146.96M
294,PCRX,"Pacira BioSciences, Inc.",1.21B,-0.61%,498069,694.96M
295,CDNA,"CareDx, Inc",1.20B,-1.28%,706394,312.78M
296,XNCR,"Xencor, Inc.",1.19B,-1.22%,314330,85.16M
297,INDV,Indivior PLC,1.19B,-10.05%,915518,1.18B
298,OCUL,"Ocular Therapeutix, Inc.",1.19B,-0.92%,770153,61.44M
299,ANIP,"ANI Pharmaceuticals, Inc.",1.18B,0.60%,198317,555.46M
300,SPRY,"ARS Pharmaceuticals, Inc.",1.16B,-6.33%,1343542,2.57M
301,ADPT,Adaptive Biotechnologies Corporation,1.16B,-2.12%,1373774,177.28M
302,MRVI,"Maravai LifeSciences Holdings, Inc.",1.16B,-7.07%,1385073,276.92M
303,INVA,"Innoviva, Inc.",1.15B,0.88%,317957,352.75M
304,MD,"Pediatrix Medical Group, Inc.",1.15B,-0.44%,221605,2.01B
305,RCUS,"Arcus Biosciences, Inc.",1.15B,-3.54%,280043,263.00M
306,AUPH,Aurinia Pharmaceuticals Inc.,1.15B,0.76%,1155007,220.36M
307,EVH,"Evolent Health, Inc.",1.13B,1.63%,2177530,2.46B
308,MYGN,"Myriad Genetics, Inc.",1.13B,-2.51%,834145,823.60M
309,HROW,"Harrow, Inc.",1.09B,-1.10%,255320,169.14M
310,FNA,"Paragon 28, Inc.",1.09B,0.15%,1845869,245.00M
311,OPK,"OPKO Health, Inc.",1.08B,-0.31%,1660255,711.41M
312,GRAL,"GRAIL, Inc.",1.08B,-2.36%,725387,117.67M
313,STAA,STAAR Surgical Company,1.08B,-4.07%,538930,341.22M
314,RCKT,"Rocket Pharmaceuticals, Inc.",1.08B,-2.91%,1328970,-
315,ELVN,"Enliven Therapeutics, Inc.",1.07B,-2.09%,188295,-
316,REPL,"Replimune Group, Inc.",1.07B,-0.85%,585036,-
317,GYRE,"Gyre Therapeutics, Inc.",1.04B,-5.12%,43254,105.03M
318,BGM,BGM Group Ltd.,1.02B,-7.81%,25494,-
319,SION,"Sionna Therapeutics, Inc.",1.02B,-,1890488,-
320,EMBC,Embecta Corp.,1.01B,-1.75%,433095,1.11B
321,HSTM,"HealthStream, Inc.",1.01B,0.39%,83947,287.99M
322,BBNX,"Beta Bionics, Inc.",1.01B,0.13%,228256,53.03M
323,NTLA,"Intellia Therapeutics, Inc.",997.10M,-3.06%,1957080,43.09M
324,COLL,"Collegium Pharmaceutical, Inc.",993.95M,-0.42%,220815,599.25M
325,PHVS,Pharvaris N.V.,991.92M,0.16%,23614,-
326,ZYME,Zymeworks Inc.,983.57M,-4.23%,288903,62.20M
327,COGT,"Cogent Biosciences, Inc.",965.44M,-4.69%,716522,-
328,AMN,"AMN Healthcare Services, Inc.",959.84M,-3.34%,551618,3.07B
329,PAHC,Phibro Animal Health Corporation,959.53M,-3.62%,319308,1.11B
330,TLRY,"Tilray Brands, Inc.",937.66M,-5.63%,65587542,829.22M
331,OCS,Oculis Holding AG,926.98M,-,19856,1.03M
332,BFLY,"Butterfly Network, Inc.",924.69M,-2.27%,2521202,76.22M
333,ABCL,AbCellera Biologics Inc.,915.64M,-6.69%,3460994,32.96M
334,PNTG,"The Pennant Group, Inc.",913.32M,-2.31%,182526,652.30M
335,BKDT,Brookdale Senior Living Inc.,906.42M,-5.75%,6463,2.95B
336,BKD,Brookdale Senior Living Inc.,906.42M,-2.15%,804269,2.95B
337,AVAH,Aveanna Healthcare Holdings Inc.,902.36M,-3.20%,118172,1.98B
338,IMNM,"Immunome, Inc.",888.86M,-5.51%,828977,10.13M
339,AVBP,"ArriVent BioPharma, Inc.",879.16M,-4.71%,345482,-
340,OPT,Opthea Limited,867.57M,-3.21%,60449,261.86K
341,ORIC,"ORIC Pharmaceuticals, Inc.",864.45M,-2.31%,872173,-
342,GHRS,GH Research PLC,860.64M,2.70%,573305,-
343,BCYC,Bicycle Therapeutics plc,840.98M,-3.17%,187602,36.90M
344,EOLS,"Evolus, Inc.",830.14M,-1.27%,917787,248.33M
345,CVAC,CureVac N.V.,803.04M,-0.80%,740860,70.57M
346,NUVB,Nuvation Bio Inc.,801.03M,-0.41%,2240949,2.16M
347,ESTA,Establishment Labs Holdings Inc.,798.22M,-5.81%,423108,153.07M
348,DH,Definitive Healthcare Corp.,797.82M,2.18%,359799,255.85M
349,AXGN,"Axogen, Inc.",790.39M,-1.80%,294702,180.86M
350,HCSG,"Healthcare Services Group, Inc.",790.08M,-1.46%,391723,1.70B
351,AVDL,Avadel Pharmaceuticals plc,781.49M,1.38%,1474011,138.16M
352,CSTL,"Castle Biosciences, Inc.",773.00M,-0.83%,266979,311.88M
353,IRMD,IRADIMED CORPORATION,762.31M,-1.97%,30603,71.31M
